""	Estimate	Std..Error	t.value	Pr...t..
f.54.0.0_11014	0.00990800308734266	0.00534443052105422	1.85389314133852	0.0637560631379102
f.54.0.0_11016	0.00942183043094349	0.00548674789495749	1.71719762076229	0.0859447682304437
f.54.0.0_11017	0.00942482107479644	0.00559495520988475	1.68452127340454	0.0920826831158837
f.54.0.0_11018	0.00606073172169138	0.00541795594979706	1.11863805794109	0.263296054120091
f.54.0.0_11020	0.0112813833479339	0.00537793423345255	2.09771686640568	0.0359315369359438
f.54.0.0_11021	0.0172188968960976	0.00535173016704588	3.21744489326568	0.00129360449228667
ageIndicator	-0.00135131727466272	0.000173986949291436	-7.76677377335471	8.09263244942679e-15
ageBin	-0.000290378446878415	0.00105428714679702	-0.275426336895599	0.7829890244268
BatchBatch_b002	-0.00105202087393961	0.00488981502790739	-0.215145331251892	0.829654252721781
BatchBatch_b003	-0.00345203117766999	0.00486170177269806	-0.710045852062671	0.477676610868322
BatchBatch_b004	-0.00573488302056191	0.00472202784997933	-1.21449580620051	0.224560023138458
BatchBatch_b005	-0.00383738607909546	0.0047987290878408	-0.799667163711903	0.423904704281582
BatchBatch_b006	0.00047214877789836	0.00482694112231743	0.0978153173891792	0.922079051707827
BatchBatch_b007	-0.00466834133193416	0.00500479374237368	-0.932773970765087	0.350937918308999
BatchBatch_b008	-0.0037836691261391	0.00477719434008446	-0.79202746565931	0.428345691971035
BatchBatch_b009	0.0026256078973165	0.00486056506956838	0.540185731439999	0.589069611506999
BatchBatch_b010	0.00071700842218924	0.00501132779694542	0.143077533787808	0.886229105913497
BatchBatch_b011	-0.00434884732561618	0.00481982140748558	-0.902283914267458	0.366907260123087
BatchBatch_b012	-0.00604722936918825	0.00485103092819226	-1.24658643878029	0.212550778119134
BatchBatch_b013	-0.00720084826442001	0.00485393825486766	-1.48350635840883	0.137941656779401
BatchBatch_b014	-0.00532819407170559	0.00467355891248951	-1.14007208884575	0.254257766544285
BatchBatch_b015	0.00202091447826594	0.00489074258301604	0.413212195073181	0.679451639979859
BatchBatch_b016	-0.000654862659233403	0.00493553828561951	-0.132683128229691	0.894444133009774
BatchBatch_b017	-0.00706127843189221	0.00491063363073195	-1.43795667990807	0.150448062134465
BatchBatch_b018	-0.00465783076695494	0.00485427511105609	-0.959531682979044	0.337292238870822
BatchBatch_b019	-0.00225740844612486	0.00494492614812993	-0.456510042516724	0.648023794715521
BatchBatch_b020	-0.00176887912102444	0.00494832946511169	-0.357469956981637	0.72074042700802
