""	Estimate	Std..Error	t.value	Pr...t..
f.53.0.0_2008.11	0.0193161342320448	0.015472666783668	1.24840368516394	0.211884858010968
f.53.0.0_2008.12	0.0204810419362494	0.0155968707904974	1.31315070896963	0.189133816790159
f.53.0.0_2009.01	0.0205286092004882	0.015521305273222	1.32260843009802	0.185967282896962
f.53.0.0_2009.02	0.0166631620378052	0.015480128451148	1.07642272416476	0.281739663593465
f.53.0.0_2009.03	0.0145587398651349	0.0154290046564524	0.943595532524933	0.345377622333595
f.53.0.0_2009.04	0.0123896276874176	0.0154835641118454	0.800179312587282	0.423607953121937
f.53.0.0_2009.05	0.015494542956058	0.0154417729745865	1.00341735249951	0.315660862491351
f.53.0.0_2009.06	0.0102744179526276	0.015399303058783	0.667200191684491	0.504645110363952
f.53.0.0_2009.07	0.0124546280528947	0.0153842203995608	0.809571608402745	0.418187484384504
f.53.0.0_2009.08	0.0142911170198208	0.0153622490097042	0.930275053528506	0.352229918375749
f.53.0.0_2009.09	0.00766128970153262	0.0153636272258475	0.4986641233161	0.618016622732574
f.53.0.0_2009.10	0.00579121801356248	0.0152835236552195	0.378919033608112	0.704748429362369
f.53.0.0_2009.11	0.00823994776334755	0.0152936290491921	0.53878302768059	0.590037231654064
f.53.0.0_2009.12	0.0114728685508363	0.015590813650593	0.735873624555829	0.461808553570359
f.53.0.0_2010.01	0.0044651432786051	0.0154460818494309	0.289079348544927	0.772520984331183
f.53.0.0_2010.02	0.0184253953565817	0.0153925882097331	1.19703035678762	0.231296274093434
f.53.0.0_2010.03	0.008355439065115	0.0151306510868809	0.552219400020375	0.580798719035568
f.53.0.0_2010.04	0.0100322423986834	0.0151627389126184	0.661637877991466	0.508204159622011
f.53.0.0_2010.05	0.0082323034079217	0.0150984834357621	0.545240417221162	0.585588842000175
f.53.0.0_2010.06	0.00728841492492588	0.0151325469342493	0.481638349221315	0.630063454822972
f.53.0.0_2010.07	0.00554446396165106	0.0156908095580264	0.353357418630761	0.723820911581951
f.54.0.0_11001	-0.0259995342496953	0.00948244625827675	-2.74185938327903	0.00610984254156324
f.54.0.0_11002	-0.0164244742139108	0.0096072870925474	-1.70958503224617	0.0873443314709088
f.54.0.0_11003	-0.00811005646967197	0.00855420010021088	-0.948078882264168	0.34309055054123
f.54.0.0_11004	-0.00942804316001425	0.00892227917644463	-1.05668551426914	0.290656533778594
f.54.0.0_11005	-0.016695476163665	0.00869596627154645	-1.91991040930015	0.0548707703071105
f.54.0.0_11006	-0.00844072825097348	0.00856879449073462	-0.985054345754281	0.324598679962385
f.54.0.0_11007	-0.0135262227812587	0.00819620394316236	-1.65030334470177	0.0988826254184672
f.54.0.0_11008	-0.0103948522814147	0.00835897889266279	-1.24355527330485	0.213664879862593
f.54.0.0_11009	-0.00651359554776213	0.00823605102258447	-0.790863914016667	0.429024433583696
f.54.0.0_11010	-0.0029395191252984	0.00813289352622975	-0.361435830411161	0.717774084412548
f.54.0.0_11011	-0.00992547236010415	0.00793023457894598	-1.25159883497713	0.210717679873681
f.54.0.0_11012	-0.00129598873907868	0.00864427612648124	-0.149924495714395	0.880824350655353
f.54.0.0_11013	0.00185493979423156	0.0080881676977844	0.229339927600621	0.818604979021435
f.54.0.0_11014	0.00563779929423954	0.00764093747269007	0.737841307351348	0.460611835022575
f.54.0.0_11016	0.00518307070643427	0.00785831055274342	0.659565522595032	0.509533515838154
f.54.0.0_11017	0.0124261168268572	0.00800377449654833	1.55253209997558	0.120536688212396
f.54.0.0_11018	-0.00675533712457476	0.00775061657221972	-0.871587061703928	0.38343483546275
f.54.0.0_11020	-0.000766447879255356	0.00767406207916161	-0.0998751210700513	0.920443577535849
f.54.0.0_11021	0.00661117916106379	0.00766564903246813	0.862442192834801	0.388445361433293
ageIndicator	-0.00506903384792724	0.000245041899245395	-20.6863963409413	5.90353631052683e-95
ageBin	0.00888858858610992	0.00151181429276879	5.87941827817425	4.12422149252164e-09
BatchBatch_b002	-0.00274227289947961	0.00678794325641195	-0.403991724133704	0.686219277196452
BatchBatch_b003	-0.00593621833147389	0.00677248044428211	-0.876520557026596	0.380748256973105
BatchBatch_b004	-0.00162729640788644	0.00698157115041615	-0.233084555442716	0.815696008422643
BatchBatch_b005	-0.0142827272977831	0.00688238875981369	-2.07525726840367	0.0379640917603023
BatchBatch_b006	-0.0117758003831406	0.0068400625910294	-1.72159248931206	0.0851450554396988
BatchBatch_b007	-0.0122071004502237	0.00667781846250995	-1.82800723301417	0.0675500940320578
BatchBatch_b008	-0.00244697324527239	0.00679678004764384	-0.360019483949706	0.718832978760256
BatchBatch_b009	0.00292226699924627	0.00683611822424461	0.427474614011547	0.6690341746907
BatchBatch_b010	-0.0101269757468813	0.00668449554111703	-1.51499476431531	0.129775457926063
BatchBatch_b011	-0.00982983901525204	0.00676851120220584	-1.4522896869918	0.146422789057524
BatchBatch_b012	-0.00512853210126188	0.00676827064633137	-0.75773153427925	0.448612692996315
BatchBatch_b013	-0.0118622369836613	0.00678114437791417	-1.74929721630703	0.0802413339262017
BatchBatch_b014	-0.00901332546260468	0.00700073941503929	-1.28748192558658	0.197927994402833
BatchBatch_b015	0.00250237705685657	0.00671647115354341	0.37257318607501	0.709466564287842
BatchBatch_b016	-0.000337668026034612	0.00688190265007148	-0.0490660858201916	0.960866684004423
BatchBatch_b017	-0.00115660659612983	0.00683360875393504	-0.169252680066563	0.865598081902117
BatchBatch_b018	-0.00751042487512969	0.00681622202302063	-1.10184569249131	0.270530211669878
BatchBatch_b019	-0.00964210019509003	0.00674240156343222	-1.43006910881495	0.152698893218887
BatchBatch_b020	0.00096665694100788	0.00682178162278972	0.141701536997101	0.887315916898402
BatchBatch_b021	-0.00320117071981599	0.00681881343585185	-0.469461549275557	0.638740322283046
BatchBatch_b022	0.0010919672732291	0.00683407878646122	0.159782657962967	0.873052461920736
BatchBatch_b023	-0.0045472441804971	0.00672990525404691	-0.675677295421462	0.499246408443343
BatchBatch_b024	-0.00768780516458927	0.00676070245766025	-1.13713112102405	0.255484965371211
BatchBatch_b025	-0.0120385480791873	0.00678253399244924	-1.77493368888227	0.0759104995257893
BatchBatch_b026	-0.00695524658899398	0.00677729788188332	-1.02625658635816	0.304772012077415
BatchBatch_b027	-0.0120060107365605	0.00677937335800597	-1.77096172500696	0.0765687317187351
BatchBatch_b028	-0.013977086487844	0.00679033606158893	-2.05837919670994	0.0395551602853661
BatchBatch_b029	-0.0129418759981639	0.00679147043748089	-1.90560735223701	0.0567027336616688
BatchBatch_b030	-0.0173498222534027	0.00679989567060639	-2.55148359531456	0.0107273435340374
BatchBatch_b031	-0.0096086916619256	0.00680564312307464	-1.41187122042106	0.157989584194886
BatchBatch_b032	-0.00665024846097921	0.00673416343190297	-0.987538916782712	0.323379820681405
BatchBatch_b033	-0.0100410043325402	0.00681285877911643	-1.47383127378466	0.140528746556991
BatchBatch_b034	-0.00508623402580149	0.00686082347870245	-0.741344539994406	0.458485513991572
BatchBatch_b035	-0.0122653823073884	0.00690812496016949	-1.77550093232353	0.0758168740447375
BatchBatch_b036	-0.00789775887625391	0.00682371635538939	-1.15739847099832	0.247111109784042
BatchBatch_b037	-0.00963220043957632	0.00681313111560008	-1.41377000914035	0.157431143838435
BatchBatch_b038	-0.0142457699295092	0.00683270600258295	-2.08493822566403	0.0370762915064917
BatchBatch_b039	-0.00729901753339671	0.00676421182363191	-1.0790640097781	0.280560616708648
BatchBatch_b040	-0.00834044647191733	0.00673669002236414	-1.2380629722058	0.215694301128985
BatchBatch_b041	-0.00713444067195145	0.00686043289579775	-1.03994030410552	0.298369010436607
BatchBatch_b042	-0.00415236048152557	0.00684150186461368	-0.606936980168469	0.543893488725316
BatchBatch_b043	-0.00719611551190756	0.00681571918477156	-1.05581161970199	0.291055682927595
BatchBatch_b044	-0.000868658487199838	0.00683820887800567	-0.127030118953193	0.898916699799622
BatchBatch_b045	-0.0140990088423595	0.00676506693886707	-2.08409007180062	0.0371533591676239
BatchBatch_b046	-0.00461583348053155	0.0068331655133645	-0.675504416145602	0.499356200517087
BatchBatch_b047	-0.0108377800871016	0.00681560168965503	-1.59014281945959	0.111804344160956
BatchBatch_b048	-0.00505294730601462	0.00681550549754679	-0.741389953809502	0.458457985821415
BatchBatch_b049	-0.010117528427046	0.00691861050095147	-1.46236421686907	0.143643147691007
BatchBatch_b050	-0.0141041961831355	0.00679786246303956	-2.07479869735832	0.0380065901227547
BatchBatch_b051	-0.00863486124534379	0.00680347345591784	-1.26918423380236	0.204376977752941
BatchBatch_b052	-0.00701146485617846	0.00685047614810347	-1.02350036765248	0.306072679706138
BatchBatch_b053	-0.0101927861260397	0.0067622973161149	-1.50729635944131	0.131736437299539
BatchBatch_b054	-0.0144556905819447	0.00681762385851301	-2.12034146822198	0.0339786011077347
BatchBatch_b055	-0.00810557289276677	0.00688988476472746	-1.17644534989366	0.23941848970265
BatchBatch_b056	-0.00174388775538936	0.00682205754039978	-0.255624896896893	0.798240779454117
BatchBatch_b057	-0.00460084592320174	0.00681916980165376	-0.674692969529218	0.499871704887879
BatchBatch_b058	-0.00315860005116642	0.00681485147352924	-0.463487731674754	0.643015358094104
BatchBatch_b059	-0.00178127991421783	0.00682747211161337	-0.260898892752401	0.794170772444741
BatchBatch_b060	-0.0100461518913465	0.00681476656739265	-1.47417402958678	0.140436461324229
BatchBatch_b061	-0.00812802464806445	0.00677428370484184	-1.19983528919154	0.230204869874202
BatchBatch_b062	-0.00137613739071938	0.00683637231669202	-0.201296437199498	0.840467012079521
BatchBatch_b063	-0.00748569719001351	0.00680944699713667	-1.09931058912144	0.271634061949912
BatchBatch_b064	-0.0065678907999668	0.0067889436218372	-0.967439290383948	0.333325755644322
BatchBatch_b065	-0.0111525684978416	0.00683906188287761	-1.63071612581301	0.102951954002875
BatchBatch_b066	-0.00274969331504703	0.006808397050837	-0.403867943440371	0.686310302598669
BatchBatch_b067	0.00429087571140852	0.0068223426559629	0.628944620314282	0.529386098102759
BatchBatch_b068	-0.00452009478406486	0.00675281179316592	-0.669364839790049	0.503263619469384
BatchBatch_b069	-0.00959031295085794	0.00681045738598652	-1.40817457731861	0.159081081755002
BatchBatch_b070	-0.0117407173483636	0.00681181244928344	-1.72358200343562	0.0847850195046165
BatchBatch_b071	-0.0125924678564159	0.006802011467048	-1.85128589056627	0.0641300455222105
BatchBatch_b072	-0.0117154141948747	0.00684526890802124	-1.71146150024095	0.0869976477469083
BatchBatch_b073	-0.0169268736930944	0.0068235832546658	-2.48064294980504	0.0131154588637549
BatchBatch_b074	-0.00501006971473568	0.00684131027774774	-0.732326047399369	0.463970522952809
BatchBatch_b075	-0.00548457831294482	0.00676783512441242	-0.810388877997525	0.4177177623562
BatchBatch_b076	-0.0130811063480024	0.00682109223721073	-1.91774365352249	0.0551450789688241
BatchBatch_b077	-0.00767748946989593	0.00679765358285775	-1.12943229252767	0.25871699784147
BatchBatch_b078	-0.0121027072617229	0.0068115799435597	-1.7767841472911	0.0756054226526659
BatchBatch_b079	-0.00443675960892861	0.0068518522520118	-0.647527040243157	0.517291712463657
BatchBatch_b080	-0.00463076858705619	0.00684636428828513	-0.676383609177785	0.498797976345288
BatchBatch_b081	-0.0102688378422917	0.00678587300140792	-1.51326702403083	0.130213573093671
BatchBatch_b082	-0.00925020354854108	0.00687020746930951	-1.34642273757575	0.178167890499033
BatchBatch_b083	-0.00437317958319691	0.0067956737462987	-0.643524063464462	0.519884912502846
BatchBatch_b084	-0.00905077833443758	0.00679032277784567	-1.33289368275201	0.18256835612543
BatchBatch_b085	-0.00161060205707763	0.00673560855973395	-0.239117526322113	0.811014719783344
BatchBatch_b086	-0.0105560510301966	0.00683731274284545	-1.54388886792437	0.122616987290425
BatchBatch_b087	-0.00381543766593648	0.0068032929880222	-0.560822188997872	0.574919445596077
BatchBatch_b088	-0.0176316382857522	0.00681327354607443	-2.58783654678168	0.00965884304622245
BatchBatch_b089	-0.0174409927523107	0.0067635727199846	-2.57866566596928	0.00991904686853148
BatchBatch_b090	-0.00812386350216029	0.00684409212553771	-1.18698920954721	0.235233418290085
BatchBatch_b091	-0.010876781738163	0.00682800279671149	-1.59296679600095	0.11116936792526
BatchBatch_b092	-0.0120711653203057	0.00679974488966444	-1.77523797086178	0.0758602650163652
BatchBatch_b093	-0.00288216889266236	0.00681768702251883	-0.422748783149264	0.672479056100797
BatchBatch_b094	-0.00453967339313872	0.00853460995026616	-0.531913399627261	0.594786622257632
BatchBatch_b095	0.0593266484396271	0.00685230275120707	8.65791407555312	4.84277117396494e-18
BatchUKBiLEVEAX_b1	-0.00482190176076938	0.006917473116912	-0.69706114924837	0.485765412203595
BatchUKBiLEVEAX_b10	-0.00497084751477474	0.00689352300217325	-0.721089566714672	0.470855331375056
BatchUKBiLEVEAX_b11	-0.00277816908358987	0.00683096437048847	-0.406702323846437	0.684227109353254
BatchUKBiLEVEAX_b2	-0.00275124265393353	0.0068155225700717	-0.403673031032833	0.686453645809775
BatchUKBiLEVEAX_b3	-0.00802140264071959	0.00692857222606125	-1.15772808292995	0.246976531549283
BatchUKBiLEVEAX_b4	-0.00121695239443251	0.00689238752191783	-0.176564708609694	0.859850512409955
BatchUKBiLEVEAX_b5	-0.00111512983423992	0.00686706681131989	-0.162388085754708	0.871000431878237
BatchUKBiLEVEAX_b6	-0.00697027986936619	0.00680068719864784	-1.02493757847767	0.305393997316381
BatchUKBiLEVEAX_b7	-0.00571158620557563	0.00685642085958563	-0.833027365522718	0.40483038349772
BatchUKBiLEVEAX_b8	-0.000871410118925699	0.00686815873684007	-0.126876816962827	0.899038035175587
BatchUKBiLEVEAX_b9	-0.00252011452136055	0.00687866097293401	-0.366367019871548	0.714091649594305
ageBin_FastingTime	0.000203907216425011	0.000153344588653195	1.32973206433889	0.183608224476756
