l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	-0.000496918203139557	0.00798837672689297	-0.00848529493003252	0.00749145852375341	-0.000 (-0.008-0.007)	female
0.01	0.05	0.00550542368880903	0.00411127369875393	0.00139414999005509	0.00961669738756296	0.006 (0.001-0.010)	female
0.05	0.1	-0.00199570084306342	0.00409447368010802	-0.00609017452317144	0.0020987728370446	-0.002 (-0.006-0.002)	female
0.1	0.15	0.00799674777864282	0.00396772416096279	0.00402902361768003	0.0119644719396056	0.008 (0.004-0.012)	female
0.15	0.2	0.00789826741502341	0.00384281438233004	0.00405545303269337	0.0117410817973534	0.008 (0.004-0.012)	female
0.2	0.25	0.00572257716502272	0.00356006460608534	0.00216251255893738	0.00928264177110806	0.006 (0.002-0.009)	female
0.25	0.3	-0.000914728053203615	0.0036540440780075	-0.00456877213121112	0.00273931602480389	-0.001 (-0.005-0.003)	female
0.3	0.35	0.000273230514497062	0.00376376740372739	-0.00349053688923032	0.00403699791822445	0.000 (-0.003-0.004)	female
0.35	0.4	-0.00148835921018499	0.00385648052495086	-0.00534483973513585	0.00236812131476587	-0.001 (-0.005-0.002)	female
0.4	0.45	0.00969028206829821	0.00367690741586934	0.00601337465242887	0.0133671894841675	0.010 (0.006-0.013)	female
0.45	0.5	-0.00322985824992209	0.00384676541190198	-0.00707662366182407	0.000616907161979893	-0.003 (-0.007-0.001)	female
0.5	0.55	0.00190235182355456	0.00378786400195698	-0.00188551217840242	0.00569021582551153	0.002 (-0.002-0.006)	female
0.55	0.6	0.00267760222650153	0.0037476281618175	-0.00107002593531598	0.00642523038831903	0.003 (-0.001-0.006)	female
0.6	0.65	0.00228982427114333	0.00395042550539772	-0.00166060123425439	0.00624024977654106	0.002 (-0.002-0.006)	female
0.65	0.7	-0.00168335493252894	0.0037320271480467	-0.00541538208057564	0.00204867221551777	-0.002 (-0.005-0.002)	female
0.7	0.75	-0.00610992897938316	0.0040344026884711	-0.0101443316678543	-0.00207552629091206	-0.006 (-0.010--0.002)	female
0.75	0.8	-0.00304605784158009	0.00373635894269273	-0.00678241678427281	0.000690301101112636	-0.003 (-0.007-0.001)	female
0.8	0.85	-0.00517704437065628	0.0036793423998291	-0.00885638677048538	-0.00149770197082719	-0.005 (-0.009--0.001)	female
0.85	0.9	-0.00758312119994926	0.00393302739209365	-0.0115161485920429	-0.00365009380785561	-0.008 (-0.012--0.004)	female
0.9	0.95	-0.00164508297497123	0.00365738449976868	-0.0053024674747399	0.00201230152479745	-0.002 (-0.005-0.002)	female
0.95	0.99	-0.00776316869503361	0.0044158708159737	-0.0121790395110073	-0.00334729787905991	-0.008 (-0.012--0.003)	female
0.99	1	0.00344415626178924	0.00854224650223519	-0.00509809024044595	0.0119864027640244	0.003 (-0.005-0.012)	female
